study_uid,study,author_year_std,outcome_std,model_group_best,auc_best,auprc_best,acc_best,sens_best,spec_best,prec_best,npv_best,f1_best,brier_best
13,Using fetal abdominal circumference growth velocityin the prediction of adverse outcome in near-termsmall-for-gestational-age fetuses,"Cavallaro, et al 2017",Stillbirths,Classical,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Identifying risk of stillbirth using machine learning,"Cersonkey, et al. 2023",Stillbirths,AI,0.851,NA,NA,0.852,0.8490000000000001,NA,NA,NA,NA
15,Prediction of Adverse Outcomes in De Novo Hypertensive Disorders of Pregnancy: Development and Validation of Maternal and Neonatal Prognostic Models,"Chen, et al. 2022",Neonatal death,AI,0.984,NA,NA,NA,NA,NA,NA,NA,NA
16,Can artificial intelligence-augmented fetal monitoring prevent intrapartum stillbirth and neonatal death in a low-income setting: An observational study?,"Chiweza, et al. 2024",Stillbirth + Neonatal death,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Clinical characteristics of neonatal cholestasis in a tertiary hospital and the development of a novel prediction model for mortality,"Choi, et al 2022",Neonatal death,Classical,0.903,NA,NA,NA,NA,NA,NA,NA,0.072
18,A machine learning approach to predict mortality and neonatal persistent pulmonary hypertension in newborns with congenital diaphragmatic hernia. A retrospective observational cohort study,"Conte,et al. 2025",Neonatal death,ML,0.87,NA,0.95,0.87,NA,NA,NA,NA,NA
19,"Postoperative neonatal mortality prediction using
superlearning","Cooper, et al 2018",Neonatal death,ML,0.89,NA,NA,NA,NA,NA,NA,NA,NA
20,Major trauma in pregnancy: prediction of maternal and perinatal adverse outcomes,"Dalton, et al 2023",Perinatal mortality,Classical,0.99,NA,NA,0.92,NA,NA,NA,NA,NA
21,Prediction of neonatal death in pregnant women in an intensive care unit: Application of machine learning models,"Espinola-Sánchez, et al. 2023",Neonatal death,ML,0.98,NA,NA,0.98,0.98,NA,NA,NA,NA
22,Adverse pregnancy outcomes in women with systemic lupus erythematosus: can we improve predictions with machine learning?,"Fazzari, et al. 2022",Other,AI,0.78,NA,NA,NA,NA,NA,NA,NA,NA
23,Adverse pregnancy outcomes in women with systemic lupus erythematosus: can we improve predictions with machine learning?,"Fazzari, et al. 2022",Neonatal death,AI,0.78,NA,NA,NA,NA,NA,NA,NA,NA
24,"Cross-validated prediction model for
severe adverse neonatal outcomes in a
term, non-anomalous, singleton cohort","Flatley, et al. 2019",Neonatal death,Other,0.71,NA,NA,NA,NA,NA,NA,NA,NA
25,"Comparison of three classes of Marginal Risk Set Model in predicting infant mortality among newborn babies at Kigali University Teaching Hospital, Rwanda, 2016","Gatabazi, et al. 2020",Neonatal death,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Predicting Adverse Perinatal Outcomes in Dichorionic Twin Pregnancies: A Multicentre Cohort Study,"Giorgione, et al. 2025",Stillbirths,Classical,0.9,NA,NA,NA,NA,NA,NA,NA,NA
27,The Application of Machine Learning Models to Predict Stillbirths,"Gunenc, et al. 2025",Stillbirths,AI,0.99,NA,0.963,0.972,NA,NA,NA,NA,NA
28,Prediction of neonatal outcomes using gestational age vs ACOG definitions of maternal disease severity in hypertensive disorders of pregnancy,"Hauptman, et al. 2025",Neonatal death,Classical,0.82,NA,NA,NA,NA,NA,NA,NA,NA
29,"A prediction model for neonatal mortality in low- and middle-income countries: an analysis of data from population surveillance sites in India, Nepal and Bangladesh","Houweling, et al. 2019",Neonatal death,Classical,0.83,NA,NA,NA,NA,NA,NA,NA,NA
30,First-trimester predictive models for adverse pregnancy outcomes—a base for implementation of strategies to prevent cardiovascular disease development,"Hromadnikova, et al 2024",Other,Classical,0.967,NA,NA,0.9167000000000001,1,NA,NA,NA,NA
31,First-Trimester Screening for Miscarriage or Stillbirth—Prediction Model Based on MicroRNA Biomarkers,"Hromadnikova, et al. 2023",Stillbirths,Classical,0.992,NA,NA,0.9375,0.326,NA,NA,NA,NA
32,A nomogram to predict in-hospital mortality of neonates admitted to the intensive care unit,"Huang, et al. 2021",Neonatal death,Other,0.865,NA,NA,NA,NA,NA,NA,NA,NA
33,Construction of a risk prediction model for adverse pregnancy outcomes in primipara with gestational diabetes mellitus combined with pregnancy-induced hypertension syndrome,"Huang, et al. 2025",Stillbirths,Classical,0.821,NA,NA,NA,NA,NA,NA,NA,NA
34,Predictive Decision Support Analytic Model for Intelligent Obstetric Risks Management,"Inyang, et al 2021",Stillbirths,AI,NA,NA,0.982,NA,NA,NA,NA,NA,NA
35,Impact of Cross-Validation on Machine Learning Models for Early Detection of Intrauterine Fetal Demise,"Kaliappan, et al. 2023",Stillbirths,AI,NA,NA,0.99,0.98,NA,0.96,NA,0.97,NA
36,Proposing a machine-learning based method to predict stillbirth before and during delivery and ranking the features: nationwide retrospective cross-sectional study,"Khatibi, et al. 2021",Stillbirths,ML,0.9,NA,0.9056000000000001,0.91,0.88,NA,NA,NA,NA
37,Predicting risk of stillbirth and preterm pregnancies with machine learning.,"Koivu, et al. 2020",Stillbirths,AI,0.76,NA,NA,NA,NA,NA,NA,NA,NA
38,Developing a predictive model for stillbirth risk using machine learning algorithms,"Kuanakewinyoo, et al 2025",Stillbirths,AI,0.86,NA,0.8220000000000001,0.8029999999999999,NA,0.8340000000000001,NA,NA,NA
39,Predicting adverse pregnancy outcome in Rwanda using machine learning techniques,"Kubahoniyesu, et al. 2024",Stillbirths,AI,0.842,NA,NA,0.97,NA,0.89,NA,NA,NA
40,Predicting mortality risk for preterm infants using random forest,"Lee, et al. 2021",Other,ML,0.93,NA,0.88,NA,NA,NA,NA,NA,NA
41,Interpretable Machine Learning for Predicting Adverse Pregnancy Outcomes in Gestational Diabetes: Retrospective Cohort Study,"Li, et al. 2025",Stillbirths,ML,0.82,NA,0.856,0.578,0.9590000000000001,NA,NA,NA,NA
42,A nomogram prediction model for early death in patients with persistent pulmonary hypertension of the newborn,"Lin, et al. 2022",Neonatal death,Classical,0.737,NA,NA,NA,NA,NA,NA,NA,NA
43,"Stillbirth risk prediction using machine learning for a large cohort of births from Western Australia, 1980–2015","Malacov, et al. 2020",Stillbirths,AI,NA,NA,NA,0.45299999999999996,NA,0.0481,NA,NA,NA
44,Prediction of stillbirth from biochemical and biophysical markers at 11–13 weeks,"Mastrodima, et al. 2016",Stillbirths,Classical,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Prediction of perinatal death using machine learning models: A birth registry-based cohort study in northern Tanzania,"Mboya I.B., et al. 2020",Stillbirths,AI,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,A Bayesian Network model of pregnancy outcomes for England and Wales,"McLachlan, et al. 2025",Stillbirths,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Machine learning for preventing stillbirths: is it possible to transform data into life-saving insights?,"Mello, et al. 2025",Other,ML,NA,NA,NA,0.6773,0.8106,NA,NA,NA,NA
48,Construction of a Prediction Model for Adverse Perinatal Outcomes in Foetal Growth Restriction Based on a Machine Learning Algorithm: A Retrospective Study,"Meng, et al. 2025",Perinatal mortality,AI,0.861,NA,NA,NA,NA,NA,NA,NA,NA
49,Visualization of Risk Factors and Predictive Models for Early Death of Neonatal Gastric Perforation,"Mengying, et al. 2024",Other,Classical,0.828,NA,NA,0.8,0.769,NA,NA,NA,NA
